Date,strategy,vol_targeted,benchmark_ew,ret,bench_ret,leverage
2015-01-29,0.9994,0.9994,1.0039734425667453,-0.0006000000000000001,0.0039734425667451775,1.0
2015-01-30,0.9992312701475651,0.9992312701475651,0.9945755664242606,-0.00016883115112556485,-0.009360682010131818,1.0
2015-02-02,0.9971863920392091,0.9971863920392091,0.9962637627774719,-0.0020464512765438207,0.0016974038074157305,1.0
2015-02-03,0.9964046037300092,0.9964046037300092,0.9922233035320083,-0.0007839941614137388,-0.004055611973880465,1.0
2015-02-04,0.9950545190863814,0.9950545190863814,0.9892139582916516,-0.0013549562482688122,-0.0030329314274764535,1.0
2015-02-05,0.9904945575008517,0.9904945575008517,0.9856087536110059,-0.004582624869355458,-0.003644514566769614,1.0
2015-02-06,0.9928001020544097,0.9928001020544097,0.9755540491673809,0.0023276700877338245,-0.010201516988142855,1.0
2015-02-09,0.9924563743129318,0.9924563743129318,0.9622405252414137,-0.0003462204936992088,-0.013647141270470925,1.0
2015-02-10,0.9925984657471301,0.9925984657471301,0.9685508188327467,0.0001431714661479226,0.006557917096403618,1.0
2015-02-11,0.9914817602894547,0.9914817602894547,0.9793787631409709,-0.0011250324236949662,0.011179531417126421,1.0
2015-02-12,0.9906033277050372,0.9906033277050372,0.9886909581994581,-0.0008859795707799791,0.009508267290401341,1.0
2015-02-13,0.9960302262720259,0.9960302262720259,0.9983587112294411,0.005478377081128178,0.009778336647873741,1.0
2015-02-16,0.9983236700068251,0.9983236700068251,0.9968051420361467,0.0023025844741510473,-0.0015561232408952874,1.0
2015-02-18,1.0000856060587555,1.0000856060587555,1.0012486751818577,0.001764894597679472,0.004457775104003165,1.0
2015-02-19,1.0014423977159002,1.0014423977159002,1.0052259328757989,0.0013566755175004309,0.0039722975845324715,1.0
2015-02-20,1.0016363531749533,1.0016363531749533,0.9993531606100755,0.00019367610108731007,-0.005842241105859797,1.0
2015-02-23,1.002730930002813,1.002730930002813,0.9904805894764432,0.001092788639699742,-0.00887831397682855,1.0
2015-02-24,1.0028842843248609,1.0028842843248609,0.9912448333356912,0.00015293666272704338,0.0007715889310379528,1.0
2015-02-25,1.0041660162340373,1.0041660162340373,0.9888136610314475,0.0012780456621068457,-0.0024526456254631342,1.0
2015-02-26,1.0035881688607573,1.0035881688607573,0.9792797687975072,-0.0005754500390753022,-0.009641748096395992,1.0
2015-02-27,1.0050540650600701,1.0050540650600701,0.9986352413541268,0.0014606551220875802,0.01976500809404741,1.0
2015-03-02,1.0048530542470582,1.0048530542470582,1.0182958967986142,-0.0002,0.01968752416330509,1.0
2015-03-03,1.005019384784329,1.005019384784329,1.0227394624341277,0.00016552722467001724,0.004363727330615226,1.0
2015-03-04,1.0048634757062542,1.0048634757062542,1.012757608606918,-0.00015513041881087247,-0.00975991852651577,1.0
2015-03-05,1.0076128193235225,1.0076128193235225,1.0149142107664746,0.0027360369679431656,0.002129435652942714,1.0
