y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_start
ASIANPAINT,KOTAKBANK,1.0969166964380392,0.8509066307762109,0.0002666478812660262,13.152856313902378,0.9747923962825253,27,3.994688178127468e-14,0.057935764738829984,False,Consumer,Bank,2015-08-03
KOTAKBANK,BAJFINANCE,3.069693583555237,0.5693473715684931,0.0002891636599401521,13.778538522586004,0.9825091324586881,25,5.430106687637538e-15,0.05539412899542982,False,Bank,NBFC,2015-08-03
HDFCBANK,SHREECEM,1.5007758180571245,0.5061937993927674,6.242350937021176e-09,5.709437080807425,0.9894037770996263,39,3.940880543706482e-14,0.03058490221281409,False,Bank,Cement,2015-11-04
TITAN,POWERGRID,0.589960213892377,1.2063976862895212,9.78276193959876e-08,6.703520473564417,0.9577625442473431,34,-3.610868218185628e-14,0.05940120446157473,False,Consumer,Utilities,2015-11-04
HDFCBANK,BAJFINANCE,3.896209228187515,0.3790007728663215,2.3436207261783884e-05,9.638763941428802,0.9835841038954588,25,-2.004393124140719e-14,0.0380126101413178,False,Bank,NBFC,2015-11-04
HDFCBANK,MARUTI,2.1913273296407,0.48775428774924784,2.5816426081838585e-05,10.302480516473205,0.9846546827785795,33,1.016705825937154e-14,0.0367621156042372,False,Bank,Auto,2015-11-04
SHREECEM,MARUTI,1.4176860366092372,0.9565841229013263,7.024360049073698e-05,12.28091103389458,0.9879825637340016,31,-2.448364850072832e-14,0.0636412977038119,False,Cement,Auto,2015-11-04
BPCL,SHREECEM,-3.652600268330292,0.9518925985679644,7.471552941443234e-05,11.860011456815068,0.9830784769980624,28,5.332595035739244e-15,0.07303251629728148,False,Energy,Cement,2015-11-04
ASIANPAINT,KOTAKBANK,1.1009197801641886,0.852376622361886,0.00010847697963608858,12.008407768440762,0.9752942804995607,26,2.401488766810881e-14,0.05785496736561416,False,Consumer,Bank,2015-11-04
TATACONSUM,HINDALCO,3.6956179266823552,0.2521947707567319,0.00017041352906917336,12.355564540862375,0.7243324641729653,25,2.475386151201275e-15,0.05291444834073034,False,Consumer,Metals & Mining,2015-11-04
GRASIM,POWERGRID,2.7670222499015837,0.8016733696886562,0.0002124221638380212,12.112685795948492,0.9401175862907952,20,-3.3218577800292383e-14,0.0476664355501212,False,Cement,Utilities,2015-11-04
TITAN,GRASIM,-2.6025036570932825,1.3465492503787888,0.00022318827357565115,12.894687011936874,0.9116011745839652,16,6.403343463933284e-14,0.08491575202277706,False,Consumer,Cement,2015-11-04
HDFCBANK,SHREECEM,1.408189977640749,0.5169173154731901,2.150055050999988e-08,5.964150928285342,0.9896379375975187,38,-4.489647924449773e-14,0.031141291278775386,False,Bank,Cement,2016-02-08
