y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,form_end
HDFCBANK,SHREECEM,1.7827844457205992,0.4729004967534165,8.430218674483388e-09,6.238600647042944,0.9849679446393477,37,-4.0019721810403525e-14,0.032485745678396,False,Bank,Cement,2015-01-28
HDFCBANK,BAJFINANCE,3.6237042309740057,0.43270287243471706,2.648799966857746e-07,7.439022383134582,0.9823313695745964,34,-4.449115972757109e-15,0.03519625682225569,False,Bank,NBFC,2015-01-28
M&M,SHREECEM,1.5798517569054278,0.5346311518388573,0.00012897838211908239,11.051059877345649,0.974026620035985,30,4.375571040120564e-14,0.04868368073554378,False,Auto,Cement,2015-01-28
TATACONSUM,HDFC,-3.857997000773457,1.3302009925864418,0.00022075846448114185,13.774310640817811,0.8528494519689326,25,-4.511969868860226e-14,0.07862993619315241,False,Consumer,NBFC,2015-01-28
INDUSINDBK,KOTAKBANK,-0.47401562281265197,1.106172264893889,0.00031548148415989045,11.123133571288651,0.9772358772784715,25,4.323408180550874e-15,0.05841833040499467,True,Bank,Bank,2015-01-28
COALINDIA,POWERGRID,1.1355649189033326,0.9572449826725756,0.00031887626065128083,11.626380773710405,0.914531950158026,23,3.207898379617979e-14,0.05557076888992214,False,Metals & Mining,Utilities,2015-01-28
TATAMOTORS,EICHERMOT,3.453683915302336,0.3992238038702006,0.000333109399473852,15.131975056792307,0.9582978240308015,23,3.0099379778726466e-15,0.07751932047631072,True,Auto,Auto,2015-01-28
HDFCBANK,M&M,0.6444401404291314,0.8418283516619138,0.00043494528770700633,12.361522837157095,0.9624081875225458,31,-2.2965756280817524e-14,0.05107968545815041,False,Bank,Auto,2015-01-28
MARUTI,ADANIPORTS,2.1088662908922293,1.0371063129056521,0.0005103750152482362,13.880723781817041,0.9628544296359932,26,-3.6306055164011865e-14,0.09150593415642756,False,Auto,Infrastructure,2015-01-28
ULTRACEMCO,HDFCBANK,1.225844283322808,1.0954723318268207,0.000570755436874395,13.640165128772548,0.9590371282756508,25,-2.384923534379966e-16,0.060854042214002264,False,Cement,Bank,2015-01-28
TITAN,POWERGRID,-0.07748139492606587,1.3595494598824334,0.0006394271117859287,13.74187585713794,0.8865451829241521,19,4.710165238441458e-14,0.09311683284760408,False,Consumer,Utilities,2015-01-28
TATAMOTORS,INFY,-0.959176054278325,1.1841839120533204,0.0006400499310668363,20.737602097289905,0.8656985943881104,13,8.122838087045854e-14,0.13578514155002216,False,Auto,IT,2015-01-28
HDFC,ITC,4.180151079478787,0.4630420012880007,0.0008102966912074852,15.566021346056798,0.8808397627353552,18,-1.528230804690374e-14,0.04570709294224711,False,NBFC,Consumer,2015-01-28
TATAMOTORS,UPL,2.934040368910533,0.6141144661821303,0.0008931989865845111,20.261548254010844,0.9201270001418645,25,2.218566306563117e-14,0.10623220681468844,False,Auto,Chemicals,2015-01-28
KOTAKBANK,BAJFINANCE,3.1653440133231032,0.5529377267424914,0.0009394689420144385,14.563566307272739,0.9704659164079825,21,6.83638918549607e-15,0.05868367342874338,False,Bank,NBFC,2015-01-28
INDUSINDBK,SHREECEM,0.33037029643278665,0.6797626856058656,0.000955093186691912,13.865149809631205,0.9669902942764079,25,-2.5429394040223822e-14,0.07016432883960416,False,Bank,Cement,2015-01-28
UPL,ADANIPORTS,-1.6096010571774824,1.2395273111319711,0.0009821388793533551,14.538655331965552,0.9595231939590442,28,-7.852625075761425e-15,0.11446375718391598,False,Chemicals,Infrastructure,2015-01-28
ULTRACEMCO,M&M,1.7856333850338122,0.9462949646662839,0.0010411907536340727,15.396261329551093,0.9471010057068082,19,-4.683378905148914e-14,0.06894310651569407,False,Cement,Auto,2015-01-28
SHREECEM,BAJFINANCE,3.9599436001948196,0.9013490487105058,0.0010625611768334841,15.20050882526849,0.9824465069299312,25,-1.3641057713145707e-14,0.07307044450436741,False,Cement,NBFC,2015-01-28
ICICIBANK,SHREECEM,0.27666713864161113,0.5878493282647086,0.0010746170872264417,15.410947581854886,0.9624214474172121,27,3.84689340934668e-14,0.06497198466115146,False,Bank,Cement,2015-01-28
TATAMOTORS,DRREDDY,-2.3154006994058167,1.0644480240715974,0.001269920958637347,17.584155480387285,0.937790572059138,20,5.013626198505667e-14,0.09418305019520806,False,Auto,Pharma,2015-01-28
HCLTECH,TCS,-4.708345429320773,1.5094317486286353,0.0014841376818279992,16.76573132513881,0.9846968699040893,12,2.3084415037946773e-14,0.08176801023527676,True,IT,IT,2015-01-28
INDUSINDBK,BAJFINANCE,2.9720165623816497,0.62290702827081,0.0014975020167037937,14.500953313598679,0.9658372102920516,25,-1.451631290187136e-14,0.07135836323397206,False,Bank,NBFC,2015-01-28
HDFCBANK,ICICIBANK,1.7864576158848273,0.7610349715688831,0.001719928230419356,16.292965970175104,0.9681834942197335,32,1.2087920317849984e-14,0.04706151908593266,True,Bank,Bank,2015-01-28
KOTAKBANK,EICHERMOT,3.7743576054403314,0.3599270829683007,0.001723186244714329,16.37022313942796,0.9634268605030547,21,1.2528485010161555e-14,0.06518678517171839,False,Bank,Auto,2015-01-28
ULTRACEMCO,SHREECEM,3.086682808141169,0.5290300300055514,0.001867109782922501,15.629251409968916,0.9646430938759077,21,-2.6176591758384246e-14,0.056617652806319335,True,Cement,Cement,2015-01-28
WIPRO,INFY,-0.12670091399079142,0.9085097461552112,0.0018789674727698509,16.22662611650387,0.9421497383876721,17,6.513425895052202e-14,0.06409770228970056,True,IT,IT,2015-01-28
