pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
TITAN/POWERGRID,2015-11-20,2015-12-16,17,-1,2.0601909639825844,-0.015390621179187538,0.026399598649517624,target
TITAN/POWERGRID,2015-12-28,2016-01-21,18,1,-2.022109697602953,-0.21771507009900193,0.02640254745953144,target
HDFCBANK/BAJFINANCE,2016-01-08,2016-02-05,19,1,-2.043932372393542,-2.3637972315544533,-0.02508166043898119,eow
HDFCBANK/MARUTI,2016-01-29,2016-02-05,5,-1,2.1265376845197186,3.31362411503493,-0.03870433793243691,eow
SHREECEM/MARUTI,2015-11-16,2015-12-30,30,1,-2.0036749689423092,-0.49021626854508343,0.02089795109356067,target
SHREECEM/MARUTI,2016-02-01,2016-02-05,4,-1,2.1863194981260743,2.889807410730771,-0.01825175330877269,eow
BPCL/SHREECEM,2015-11-20,2015-12-30,26,-1,2.076936088743666,0.3461859015782503,0.02635483259223472,target
BPCL/SHREECEM,2016-01-15,2016-02-01,10,-1,2.8089800620019534,0.018279427451204377,0.06754392748580362,target
ASIANPAINT/KOTAKBANK,2015-11-04,2015-11-23,11,1,-2.3566706991219677,-0.43959788485598245,0.019805883900286363,target
TATACONSUM/HINDALCO,2015-12-17,2016-01-13,18,-1,2.3249895623579597,0.13969092465680702,0.022222817397826278,target
TATACONSUM/HINDALCO,2016-01-18,2016-02-05,13,1,-2.1170697930949722,-1.5562196896071128,0.00010736361726582534,eow
GRASIM/POWERGRID,2015-12-28,2016-02-05,28,1,-2.249201549815795,-1.7548743030780714,-0.0520378134357435,eow
TITAN/GRASIM,2015-11-23,2015-12-04,8,-1,2.4188873914465643,0.47636850685938525,0.018711335319331196,target
TITAN/GRASIM,2016-01-25,2016-02-05,8,-1,2.4769248141163405,2.2776336705781346,-0.018721790030693974,eow
HDFCBANK/SHREECEM,2016-02-15,2016-04-20,41,1,-3.4494184796747183,-0.39014903384028526,0.0020067817362212775,target
HDFCBANK/MARUTI,2016-02-08,2016-02-15,5,-1,2.3293205677321103,-0.22357510730009192,0.035849179712656554,target
HDFCBANK/MARUTI,2016-02-29,2016-05-12,47,-1,2.0794626112268846,1.5577982943359563,-0.05968272581539432,eow
TATACONSUM/HINDALCO,2016-02-12,2016-03-21,25,1,-3.215950696005404,-0.48917543488914916,0.04234699373923717,target
KOTAKBANK/HDFCBANK,2016-02-24,2016-03-03,6,-1,2.289465650573576,0.14639070657567585,0.00918838994500996,target
KOTAKBANK/HDFCBANK,2016-03-11,2016-05-12,39,1,-3.194712311015176,-1.3367509231648964,-0.015963620744283494,eow
GRASIM/POWERGRID,2016-03-23,2016-05-12,31,-1,2.086837314855226,1.6085194728718408,-0.04843628074759167,eow
KOTAKBANK/INDUSINDBK,2016-02-09,2016-02-15,4,-1,2.469882236627805,0.3717219764865723,0.013716560061195348,target
KOTAKBANK/INDUSINDBK,2016-03-08,2016-03-28,12,1,-3.334596861672727,-0.3329912280002745,0.014554256111038114,target
ASIANPAINT/HDFCBANK,2016-02-10,2016-03-04,17,-1,2.0416597675646107,0.20951489036775595,0.00571360354485997,target
ASIANPAINT/HDFCBANK,2016-04-29,2016-05-12,9,1,-2.244662682823198,-0.7751811810629,0.020157326206716106,eow
KOTAKBANK/ASIANPAINT,2016-02-11,2016-03-04,16,1,-2.723652786624659,-0.0677024986114161,0.016481671005456194,target
KOTAKBANK/ASIANPAINT,2016-03-14,2016-03-16,2,1,-2.0171357570135027,-0.3479384492616988,0.027235643061921135,target
KOTAKBANK/ASIANPAINT,2016-04-29,2016-05-12,9,-1,2.3785152718090186,0.3513884467577224,0.02664613737220932,target
GRASIM/TITAN,2016-02-08,2016-02-17,7,1,-2.4824809005606845,0.47927905027123985,0.050959941804338695,target
GRASIM/TITAN,2016-03-28,2016-05-12,30,-1,2.6284787345412473,1.2906162603162696,-0.023304469580040267,eow
HDFCBANK/SHREECEM,2016-05-17,2016-05-19,2,-1,2.069244800025415,0.4382824097387281,0.02094109843047355,target
HDFCBANK/SHREECEM,2016-05-26,2016-06-06,7,-1,2.5445672886456494,0.4678778418982215,0.026552285392419054,target
HDFCBANK/SHREECEM,2016-07-08,2016-07-15,5,1,-2.2524112243658707,-0.43062947063332313,0.021903587731673106,target
TITAN/POWERGRID,2016-06-10,2016-06-23,9,1,-2.013906522220565,-0.20913852271887687,0.020362113384851367,target
TITAN/POWERGRID,2016-08-04,2016-08-10,4,1,-2.7703585340543158,-2.098085775338214,0.0027908047908368084,eow
SHREECEM/BPCL,2016-05-13,2016-05-17,2,-1,2.2044287991772293,-0.1355986352063475,0.035315164219808334,target
M&M/IOC,2016-07-21,2016-08-10,14,1,-2.855651704905128,-1.516388714539142,-0.009318106966459436,eow
KOTAKBANK/ASIANPAINT,2016-07-26,2016-07-28,2,1,-2.0828910985855433,-3.742724733170277,-0.036808392609609976,stop
KOTAKBANK/ASIANPAINT,2016-07-29,2016-08-10,8,1,-2.7882235483805524,-1.9799154216756611,-0.012735430690963463,eow
HDFCBANK/BAJAJFINSV,2016-05-16,2016-06-14,21,-1,2.0641067297602063,0.49493151433785115,0.005168222789430346,target
HDFCBANK/BAJAJFINSV,2016-07-01,2016-08-10,27,1,-2.012370844053537,-1.3833102583838748,-0.01953083874721248,eow
KOTAKBANK/SHREECEM,2016-07-05,2016-08-10,25,1,-2.0134025938329416,-1.2837144234547402,-0.029257064920327917,eow
HINDUNILVR/KOTAKBANK,2016-05-13,2016-06-08,18,1,-2.42578521078643,-0.37923662318925216,0.014142975233071474,target
ASIANPAINT/BAJAJFINSV,2016-05-25,2016-06-16,16,-1,2.3358746372686037,0.41207994002399806,0.027698868455170965,target
M&M/GRASIM,2016-07-21,2016-08-10,14,1,-2.4738912961916153,-0.6399112916026569,0.00685911690688102,eow
HDFCBANK/SHREECEM,2016-08-16,2016-08-23,5,1,-2.0923306916407807,-0.32514699996925306,0.019688762134221202,target
HDFCBANK/SHREECEM,2016-09-16,2016-09-30,10,-1,2.679369243104288,0.2680657743742915,0.015316371164650027,target
HDFCBANK/SHREECEM,2016-10-17,2016-10-21,4,1,-2.03669869970978,-0.1378789207584703,0.017766468650804335,target
HDFCBANK/SHREECEM,2016-11-10,2016-11-16,3,-1,2.5866225724460037,3.3033217068249354,-0.02756276405302473,eow
TCS/AXISBANK,2016-09-06,2016-09-27,14,1,-2.0751357462495337,-0.3089075290923686,0.01941926391656338,target
TCS/AXISBANK,2016-11-10,2016-11-16,3,1,-2.218120201822262,-1.1275150380067775,0.02456842044094144,eow
HDFCBANK/INDUSINDBK,2016-08-30,2016-09-29,20,-1,2.050574668083981,0.48235161343515975,0.0036959206758640306,target
HDFCBANK/INDUSINDBK,2016-10-17,2016-10-27,8,1,-2.295984588008832,-0.1980909004221993,0.012647621264660854,target
HDFCBANK/INDUSINDBK,2016-11-02,2016-11-10,6,1,-2.1675139790181204,0.08280376571108881,0.01672736388701422,target
HDFCBANK/INDUSINDBK,2016-11-15,2016-11-16,1,-1,2.6163404430954587,1.9538694221809574,0.0018991530715340276,eow
TCS/M&M,2016-09-08,2016-09-26,11,1,-2.870000449528686,-0.4295544842139935,0.0469799291646706,target
TCS/M&M,2016-11-09,2016-11-16,4,1,-2.0545696586618547,-0.4332462842785106,0.030918524864615323,target
TCS/POWERGRID,2016-09-06,2016-10-21,30,1,-2.1237935773716994,-0.45183433483312035,-0.00194095823730356,target
TCS/POWERGRID,2016-11-09,2016-11-16,4,1,-2.5547726624850946,-2.3566883310974838,-0.014679096897142868,eow
ASIANPAINT/INDUSINDBK,2016-08-11,2016-10-18,43,-1,2.4425390901190482,0.3888476789173772,-0.002022563612345936,target
ASIANPAINT/INDUSINDBK,2016-10-27,2016-11-02,3,1,-2.5279967431444796,-3.5626697644855616,-0.03250974554847372,stop
ASIANPAINT/INDUSINDBK,2016-11-04,2016-11-16,7,1,-3.069798839598191,-2.157500745802107,-0.020904368608167124,eow
SHREECEM/INDUSINDBK,2016-11-02,2016-11-03,1,1,-3.3231765042817414,-3.770992910434924,-0.014412456397782387,stop
SHREECEM/INDUSINDBK,2016-11-07,2016-11-16,6,1,-2.240636740639872,-2.6780635436861155,-0.023665734325875605,eow
TECHM/ICICIBANK,2016-09-07,2016-11-16,45,1,-2.068130735454788,-0.105544380500258,-0.016652989276616778,target
BPCL/SHREECEM,2016-09-06,2016-09-19,8,1,-2.259440924801704,-0.16399994392869646,0.021390924103142982,target
