n_pairs,reform_days,sharpe,cagr,max_dd,vol,n_trades
5,63,0.5334266500579118,0.026783950348518992,-0.11590323675122971,0.05209067429551468,220
5,126,0.7892370687848453,0.03891832457350741,-0.06820203066914399,0.049959530691664186,192
5,252,0.8976465421888374,0.0512031563268609,-0.05713427391534176,0.057466486709543636,179
8,63,0.32627738212975066,0.013944172470354177,-0.09204976714700464,0.04562764150476507,333
8,126,0.30709507260167485,0.013790692909208868,-0.08851308727616347,0.048418744337362866,301
8,252,0.6025711030181354,0.03140494443373698,-0.08803618321600704,0.05371048807282711,277
10,63,0.5368968097304189,0.022666648870836248,-0.08783812499003629,0.04351053860534764,420
10,126,0.4250875433206436,0.018676560645755513,-0.08186273275294276,0.04602324180560275,378
10,252,0.6241988217363629,0.029671583153941583,-0.08329105537616177,0.04874833342079809,346
15,63,0.5302123972410658,0.021331757642867766,-0.08653394968895789,0.04142790713254085,625
15,126,0.15089598515160313,0.005611143145090924,-0.10184544016480046,0.04329287046681363,554
15,252,0.442110573137731,0.019699016419822968,-0.11504094835209666,0.04657895845483825,514
20,63,0.4499171596786643,0.016813312855094686,-0.07421177931362655,0.03872602664475465,837
20,126,0.1672495814798509,0.006140295465461243,-0.08242943028754868,0.041833290081606085,731
20,252,0.41767859190297973,0.017444449928960104,-0.09713608127273221,0.04369132105727777,664
