Date,"A. Static z, static beta (Gatev-style)","B. Rolling 60d z, static beta","C. Rolling 60d z, rolling 120d beta","D. Rolling 30d z, static beta","E. Rolling 90d z, static beta",F. B + re-form every 126d,G. B + re-form every 63d,H. B + wider stop (z=5),"I. B + no stop, 30d time exit",J. B + entry 1.5,K. B + entry 2.5,L. B + top 10 pairs,M. B + top 40 pairs,N. B + 2y formation
2014-05-30,,,,,,,,,,,,,,0.9979466720348557
2014-06-02,,,,,,,,,,,,,,0.9946529983509966
2014-06-03,,,,,,,,,,,,,,0.9957061818449615
2014-06-04,,,,,,,,,,,,,,0.9982556090655816
2014-06-05,,,,,,,,,,,,,,0.9966994682042084
2014-06-06,,,,,,,,,,,,,,0.9940918871070241
2014-06-09,,,,,,,,,,,,,,0.9947901038828333
2014-06-10,,,,,,,,,,,,,,0.9978708225305432
2014-06-11,,,,,,,,,,,,,,0.9979493434342573
2014-06-12,,,,,,,,,,,,,,0.9952101794619
2014-06-13,,,,,,,,,,,,,,0.9955203016196442
2014-06-16,,,,,,,,,,,,,,0.9964922089163119
2014-06-17,,,,,,,,,,,,,,0.9979821873754714
2014-06-18,,,,,,,,,,,,,,0.9952284380577359
2014-06-19,,,,,,,,,,,,,,0.9994373247320677
2014-06-20,,,,,,,,,,,,,,0.9987332394973323
2014-06-23,,,,,,,,,,,,,,1.0011895363972907
2014-06-24,,,,,,,,,,,,,,1.0022828568689874
2014-06-25,,,,,,,,,,,,,,1.0026361338299203
2014-06-26,,,,,,,,,,,,,,1.0033178022593516
2014-06-27,,,,,,,,,,,,,,1.001727018623129
2014-06-30,,,,,,,,,,,,,,1.0007881456528809
2014-07-01,,,,,,,,,,,,,,1.0006311167205486
2014-07-02,,,,,,,,,,,,,,0.9991688446421568
2014-07-03,,,,,,,,,,,,,,0.9985485431296566
2014-07-04,,,,,,,,,,,,,,0.999152710372457
2014-07-07,,,,,,,,,,,,,,0.9994698672121485
2014-07-08,,,,,,,,,,,,,,1.0017118301294494
2014-07-09,,,,,,,,,,,,,,1.001536432952208
2014-07-10,,,,,,,,,,,,,,1.0014532998059122
2014-07-11,,,,,,,,,,,,,,1.0026619157755305
2014-07-14,,,,,,,,,,,,,,1.0022091984473678
2014-07-15,,,,,,,,,,,,,,1.001948574107942
2014-07-16,,,,,,,,,,,,,,1.0017715773228115
2014-07-17,,,,,,,,,,,,,,1.0014764849474609
2014-07-18,,,,,,,,,,,,,,1.001662213085347
2014-07-21,,,,,,,,,,,,,,1.0020610725955075
2014-07-22,,,,,,,,,,,,,,1.002169173211637
2014-07-23,,,,,,,,,,,,,,1.0021774256696259
2014-07-24,,,,,,,,,,,,,,1.0024321013648494
2014-07-25,,,,,,,,,,,,,,1.0024254338053535
2014-07-28,,,,,,,,,,,,,,1.0028019598041686
2014-07-30,,,,,,,,,,,,,,1.0023172731362022
2014-07-31,,,,,,,,,,,,,,1.002430994288876
2014-08-01,,,,,,,,,,,,,,1.0034259714800395
2014-08-04,,,,,,,,,,,,,,1.0029309562507063
2014-08-05,,,,,,,,,,,,,,1.0028536823675887
2014-08-06,,,,,,,,,,,,,,1.0022169746471463
2014-08-07,,,,,,,,,,,,,,1.0028592012428683
2014-08-08,,,,,,,,,,,,,,1.0026668675697703
2014-08-11,,,,,,,,,,,,,,0.999356573039871
2014-08-12,,,,,,,,,,,,,,1.0007709245218326
2014-08-13,,,,,,,,,,,,,,1.0007468813566396
2014-08-14,,,,,,,,,,,,,,1.0020922637799092
2014-08-18,,,,,,,,,,,,,,1.0028491548770244
2014-08-19,,,,,,,,,,,,,,0.9999067090550916
2014-08-20,,,,,,,,,,,,,,0.9998760193700845
2014-08-21,,,,,,,,,,,,,,0.9990484842663383
2014-08-22,,,,,,,,,,,,,,0.998259113828354
2014-08-25,,,,,,,,,,,,,,0.9944256632607588
2014-08-26,,,,,,,,,,,,,,0.9942262590102257
2014-08-27,,,,,,,,,,,,,,0.9952112365757899
