variant,cagr,vol,sharpe,sortino,max_dd,calmar,hit_days,total_ret,skew,kurt
same-sector only,-0.014226204547873156,0.02664432495422036,-0.5244305469527437,-0.7182953014149017,-0.11003515837987954,-0.1292878090724363,0.4781746031746032,-0.08237842632140291,-0.28294439634530905,6.939040947980693
unconstrained,-0.01943139429522034,0.028707396402977106,-0.6691695247972445,-0.9604351661216549,-0.14066772724622345,-0.13813683263118207,0.47685185185185186,-0.1110692953469834,0.06707348221520279,3.438689846002386
