Date,ret,equity,bench,bench_equity
2015-01-29,0.0,1.0,0.0039734425667451775,1.0039734425667453
2015-01-30,-0.00030000000000000003,0.9997,-0.009360682010131818,0.9945755664242606
2015-02-02,-0.0007699526891276543,0.9989302782966791,0.0016974038074157305,0.9962637627774719
2015-02-03,-0.0017685056896815225,0.9971636644159163,-0.004055611973880465,0.9922233035320083
2015-02-04,-0.0004532628266412297,0.9967116871947592,-0.0030329314274764535,0.9892139582916516
2015-02-05,-0.00027645432402191876,0.9964361419390311,-0.003644514566769614,0.9856087536110059
2015-02-06,0.0008367042954597326,0.9972698643391429,-0.010201516988142855,0.9755540491673809
2015-02-09,0.00042534843197943804,0.9976940515121998,-0.013647141270470925,0.9622405252414137
2015-02-10,-0.0005582592236804634,0.997137079605532,0.006557917096403618,0.9685508188327467
2015-02-11,-7.6600480097884e-06,0.9971294414876298,0.011179531417126421,0.9793787631409709
2015-02-12,-0.000516905082206989,0.9966140202117066,0.009508267290401341,0.9886909581994581
2015-02-13,0.0005888471997670625,0.9972008735867569,0.009778336647873741,0.9983587112294411
2015-02-16,-0.0004966253341566188,0.9967056383696906,-0.0015561232408952874,0.9968051420361467
2015-02-18,-0.000373777558237312,0.9963330921698994,0.004457775104003165,1.0012486751818577
2015-02-19,0.0007187604994737485,0.9970492170408698,0.0039722975845324715,1.0052259328757989
2015-02-20,0.0007028885415149243,0.9977500315108543,-0.005842241105859797,0.9993531606100755
2015-02-23,0.000903306997195244,0.9986513060957699,-0.00887831397682855,0.9904805894764432
2015-02-24,-0.00019524272589609558,0.998456326692548,0.0007715889310379528,0.9912448333356912
2015-02-25,0.000393696418747244,0.9988494153726424,-0.0024526456254631342,0.9888136610314475
2015-02-26,0.0002401467194591972,0.999089285782978,-0.009641748096395992,0.9792797687975072
2015-02-27,-0.0003747651029918134,0.9987148619838935,0.01976500809404741,0.9986352413541268
2015-03-02,-0.003197164011239109,0.995521806769669,0.01968752416330509,1.0182958967986142
2015-03-03,-0.0011370746588775871,0.9943898241508311,0.004363727330615226,1.0227394624341277
2015-03-04,0.0008602070363183285,0.9952452052744091,-0.00975991852651577,1.012757608606918
2015-03-05,-0.0010609960231465067,0.9941892540695574,0.002129435652942714,1.0149142107664746
2015-03-09,0.0011555645633263458,0.9953381039408,-0.015703807469886127,0.9989761934021465
2015-03-10,0.0007141756176211216,0.9960489501459239,-0.0031853781540112846,0.995794076459306
2015-03-11,-0.00032326561992431727,0.99572696176458,-0.003483144471318296,0.9923255818273152
2015-03-12,-0.0010038826332659464,0.9947273687601899,0.007869653603830197,1.0001348404185155
2015-03-13,0.0008815165119797233,0.9956042373606702,-0.014865427108155855,0.985267408849947
2015-03-16,-0.0005542955967430864,0.9950523783158023,-0.003195140494640236,0.9821193410538813
2015-03-17,-0.001002355213931493,0.9940549823762626,0.011879923680808408,0.9937868438710473
2015-03-18,-0.0008794774380198378,0.9931807334471114,-0.0033675251205247296,0.9904402417098646
2015-03-19,0.0019210750795314719,0.9950887082036075,-0.003488329378099187,0.9869852599174563
2015-03-20,-0.0008711627602058306,0.9942218239779193,-0.011567618391694448,0.9755681910725039
2015-03-23,-2.1238660870735553e-05,0.9942007080377695,-0.002415862975067932,0.9732113520000378
2015-03-24,0.00028025704303791374,0.9944793397883904,-0.0007471617247269189,0.9724842057277537
2015-03-25,0.002577674204213937,0.9970427835291866,0.0016564095858956824,0.9740950378882534
2015-03-26,-0.0001894473285745717,0.9968538964373724,-0.012857944154566838,0.9615701782898455
2015-03-27,-0.00036669796524563014,0.9964883521419017,-0.0013109289385082128,0.9603096281167188
2015-03-30,-0.0008858508037919389,0.9956056121341875,0.014611802007461018,0.9743414822686188
2015-03-31,8.360119416395053e-05,0.9956888459522781,0.0018822614007861357,0.9761754476318777
2015-04-01,-0.00028323345590992573,0.995406833559428,0.009360280491202109,0.9853127236303368
2015-04-06,0.0007732993714787031,0.9961765810381851,0.010778011386857684,0.9959324353852403
2015-04-07,0.0004933057035353512,0.9966680006273396,0.006566241948719018,1.0024719687205568
2015-04-08,-0.00013591502969180014,0.9965325384664415,0.008127580454476079,1.01061964029969
2015-04-09,-0.0010128074575395918,0.9955232428798019,0.00506743968314894,1.0157408943695145
2015-04-10,-0.00024268670228943867,0.9952816426269349,0.0015225026289526571,1.0172873625515269
2015-04-13,-0.00301366841083157,0.9922821937806695,0.004619799636196643,1.0219870263389499
2015-04-15,-0.0017772919307019262,0.9905186186446838,-0.011100891988926687,1.0106420587454767
2015-04-16,0.00022627087826987343,0.9907427441624672,-0.00453300341555751,1.0060608148412775
2015-04-17,0.0018253800906618725,0.992551226242629,-0.012611204996027935,0.9933731756668432
2015-04-20,-0.0007949507404971051,0.9917621969103462,-0.018208116281879218,0.9752857213730017
2015-04-21,0.0010926250554068892,0.9928458211356957,-0.010606440175204571,0.9649414117155277
2015-04-22,0.001888798483189996,0.9947211068166982,0.0040514656027697184,0.9688508386537812
2015-04-23,-0.000414547808233668,0.9943087473620635,0.002113544922602302,0.970898548424577
2015-04-24,0.00048698362405560696,0.994792959439284,-0.01134760335135896,0.9598811768026447
2015-04-27,0.0011908282669517213,0.9959775870151489,-0.012970931190146811,0.9474306241076205
2015-04-28,0.0028193811927480347,0.9987856274923779,0.010646882707315104,0.9575178068358127
2015-04-29,0.0009513888347877227,0.9997358609867205,-0.00045816444862895164,0.9570791062177912
2015-04-30,-0.0018574728110592284,0.9978788788066968,-0.002798342181567228,0.9544008713837653
2015-05-04,0.0012528357897472952,0.9991290571798986,0.020878125525764145,0.9743269725784143
2015-05-05,-0.001464426344940002,0.9976659062665693,0.003400026554717851,0.9776397101581588
2015-05-06,-0.0008488204309931271,0.9968190670620249,-0.026199915538787897,0.95202563232465
2015-05-07,-0.002953430401882607,0.9938750313241878,-0.007023201010982232,0.9453393649412265
2015-05-08,0.00010582324571332454,0.993980206405836,0.014825589515609484,0.9593545783187921
2015-05-11,0.0018710664740692138,0.9958400094459304,0.016540354775242384,0.9752226433994379
2015-05-12,-0.0021497090819935774,0.993699243133412,-0.017694557269984618,0.9579665104848207
2015-05-13,0.003263739216920126,0.9969424183230503,0.012705060654501454,0.9701375331055114
2015-05-14,-0.0013053663828249407,0.9956410432045592,0.004527551584130354,0.9745298808303475
2015-05-15,-0.0009538182419095653,0.9946913826151568,0.0048251973465348475,0.979232179825449
2015-05-18,0.0009851703812925328,0.9956713231038362,0.010610532687847283,0.9896223548784787
2015-05-19,-0.002001784651888414,0.9936782035309215,0.0005514853642701028,0.9901681171233487
2015-05-20,-0.0005182064440156853,0.9931632730825739,0.003053522388550477,0.9931916176374137
2015-05-21,-0.0019014795414460301,0.9912747934374918,0.004847716635123707,0.9980063291641
2015-05-22,0.0020317463557641417,0.9932888123866194,0.0026432253556199813,1.0006442847984158
2015-05-25,-0.002711191280626016,0.9905958164193334,-0.004862049702018094,0.9957791025516856
2015-05-26,-0.001256365988665177,0.9893512655270701,-0.0007655023439840854,0.9950168313145918
2015-05-27,-0.0021652643897262973,0.9872090584628936,-0.0034294748458680384,0.9916044461203831
2015-05-28,0.0015772558485858943,0.9887661397241312,-0.004171811967883332,0.9874676588246518
2015-05-29,-0.0006187424310358916,0.9881543481591123,0.012277963650068887,0.9995917508453196
2015-06-01,-0.0038352627453112783,0.9843645166010002,-0.0009050629673278953,0.9986870573691831
2015-06-02,-0.0008335473734526211,0.9835440021436674,-0.021608225558325138,0.9771072021713698
2015-06-03,-0.0054283069055120385,0.9782050234449561,-0.01043206466698894,0.9669139566517374
2015-06-04,0.0007994251820463288,0.9789870251739021,0.002886593684945579,0.9697050443728941
2015-06-05,-0.0004935817496202591,0.9785038150451613,0.001060926854909989,0.970733830495811
2015-06-08,-0.0018110628294683636,0.9767316831572399,-0.010491870033915465,0.960549017308724
2015-06-09,0.00043405943022229555,0.9771556427551112,-0.0020618182744414283,0.9585685397913402
2015-06-10,0.0017955581422581656,0.9789101825257137,0.009794948815393882,0.9679576695746432
2015-06-11,-0.002508556452902901,0.9764545310705265,-0.017160377419099523,0.9513471506390304
2015-06-12,0.00113918598633986,0.9775668943886201,-0.000427257678601369,0.9509406802639043
2015-06-15,-0.0004519431067820325,0.9771250897692829,0.001344560749812834,0.9522192777779874
2015-06-16,0.0019553813156167207,0.9790357419128382,0.0052407099374719365,0.9572095828096908
2015-06-17,-0.0012227596318801167,0.9778386165294594,0.010629809732381085,0.9673845385489698
2015-06-18,-0.0003308179856025478,0.9775151299280948,0.009090747402021484,0.9761787870295395
2015-06-19,-0.00020720454632882634,0.9773125843490684,0.006106651890906546,0.9821399710652163
2015-06-22,0.00041878538589185577,0.9777218685768421,0.012161646608183864,0.9940844103130835
2015-06-23,0.0006955468657541876,0.97840191995811,0.004311343147595184,0.998370249323618
2015-06-24,-0.0006363433859673432,0.9777793203675269,-0.0067660291175391934,0.9916152471466094
2015-06-25,-0.0010108226394523242,0.9767909588941112,0.0039821622378441385,0.9955640199382672
2015-06-26,-0.001708527475252791,0.9751220847032621,0.0010416486577842765,0.9966010478633741
2015-06-29,-0.0013664602023362442,0.973789619182096,-0.009692033120730466,0.9869419574993277
2015-06-30,-0.0016011909283347634,0.972230396077755,0.007577440179427229,0.9944204511428457
2015-07-01,0.0008837195760003547,0.9730895751111515,0.011254473530950495,1.0056121297888687
2015-07-02,0.0029571033254415205,0.975967101529665,0.0015725255946477702,1.00719348060125
2015-07-03,0.0014496644591414658,0.977381926350044,0.0025627121765369517,1.0097746275981154
2015-07-06,-0.0012116158972253737,0.9761977148704174,0.006506472341626297,1.0163446982838586
