form_end,n_candidates,pct_of_1081,same_sector,med_half_life,med_adf_p
2015-01-28,190,17.57631822386679,25,24.306461825091507,0.013205709974665412
2015-05-05,233,21.554116558741907,29,23.713162318700093,0.01092015154806563
2015-07-31,208,19.241443108233117,24,22.98783312286365,0.010694363214815024
2015-11-03,203,18.77890841813136,25,22.622930998660166,0.01263855332374746
2016-02-05,183,16.92876965772433,23,24.10924027904378,0.015772065543682184
2016-05-12,194,17.946345975948198,24,24.55296231518156,0.012289261832598559
2016-08-10,208,19.241443108233117,22,22.749739759780795,0.008193958531624846
2016-11-16,150,13.876040703052729,17,24.47746627515567,0.016415016777630284
2017-02-14,117,10.823311748381128,16,23.637150264903262,0.013822583587781427
2017-05-19,88,8.140610545790935,11,23.493080533186195,0.01221246760258661
2017-08-18,113,10.453283996299723,13,25.180349331302928,0.013207874095696964
2017-11-20,152,14.061054579093431,14,25.144217869637735,0.011400679205846233
2018-02-20,166,15.356151711378354,18,22.08844523789449,0.007621439348405553
2018-05-24,161,14.893617021276595,20,21.96010063024789,0.009651041623946584
2018-08-23,153,14.153561517113783,21,24.183941336601144,0.013198405302100953
2018-11-28,172,15.911193339500462,17,24.978080331328194,0.014192235645573925
2019-02-27,156,14.431082331174839,17,23.093486079586725,0.011223938209511869
2019-06-06,113,10.453283996299723,18,22.579187894190756,0.010174934345800373
2019-09-06,97,8.973172987974099,17,22.937730377571025,0.009885388013877896
2019-12-11,88,8.140610545790935,14,21.680347161857444,0.006089017637453404
2020-03-12,84,7.770582793709528,16,23.615091239320304,0.009389857492410145
2020-06-17,101,9.343200740055504,17,22.577098772477708,0.013643897598612988
2020-09-14,70,6.475485661424607,16,23.59133702063425,0.015450313512225857
2020-12-14,61,5.642923219241443,16,21.51244852685712,0.01146111175569278
2021-03-16,96,8.880666049953746,22,22.015070811617207,0.012825000257815543
2021-06-18,114,10.545790934320074,18,23.199476810996362,0.013855627630976041
2021-09-20,127,11.748381128584644,19,23.26610122220993,0.0137258460409658
