date,kilian_index
1973-01-01,-8.31981711683456
1973-02-01,-3.54450235141441
1973-03-01,14.3469970291541
1973-04-01,16.0434890048096
1973-05-01,19.7720521962851
1973-06-01,40.8960788063238
1973-07-01,26.281608246492
1973-08-01,29.4489890095181
1973-09-01,44.9008413747106
1973-10-01,73.9736570798622
1973-11-01,75.3610909126434
1973-12-01,84.8154863823175
1974-01-01,70.2631543905076
1974-02-01,69.8781451088567
1974-03-01,75.4775471088763
1974-04-01,71.8184531869486
1974-05-01,75.445184465478
1974-06-01,73.8710247813415
1974-07-01,66.9931498178325
1974-08-01,59.9491860031797
1974-09-01,54.7198860529618
1974-10-01,50.1618029861426
1974-11-01,63.1079268029769
1974-12-01,70.6375740495254
1975-01-01,12.3308035751753
1975-02-01,7.14065961098993
1975-03-01,-2.26278368714401
1975-04-01,-11.6099006388187
1975-05-01,-37.7756114038365
1975-06-01,-12.8681098434585
1975-07-01,-12.9563913056058
1975-08-01,-23.1827778261103
1975-09-01,-5.97478605222639
1975-10-01,-4.03974571191497
1975-11-01,-21.3133819504676
1975-12-01,-34.1945885393157
1976-01-01,-25.9447843864751
1976-02-01,-42.862057531362
1976-03-01,-25.9274193830479
1976-04-01,-20.888712629737
1976-05-01,-6.58242029180554
1976-06-01,5.54816144355264
1976-07-01,-20.4625927007588
1976-08-01,-17.0717008827785
1976-09-01,-21.2719656195908
1976-10-01,-7.59968536215245
1976-11-01,-8.93473841096695
1976-12-01,-7.10744824521901
1977-01-01,-17.201090951693
1977-02-01,-29.2465772321222
1977-03-01,-21.2127602258534
1977-04-01,-13.1300650331104
1977-05-01,-14.0217565666227
1977-06-01,-10.440939561318
1977-07-01,-13.1671259973003
1977-08-01,-71.2467431017182
1977-09-01,-44.6911587955799
1977-10-01,-18.6948686271165
1977-11-01,-10.1462393089491
1977-12-01,-21.8474143945901
1978-01-01,-12.2154885013706
1978-02-01,-30.5623980920147
1978-03-01,-22.6952869560853
1978-04-01,-2.85977733549996
1978-05-01,2.30472138522768
1978-06-01,1.48909105840103
1978-07-01,-18.1861839248136
1978-08-01,-8.02939316703886
1978-09-01,6.62550170968728
1978-10-01,2.1821929618655
1978-11-01,9.62000288913827
1978-12-01,13.0836097652802
1979-01-01,-3.23822573224177
1979-02-01,-7.982600526829
1979-03-01,16.6449480749075
1979-04-01,6.44304416006096
1979-05-01,21.1568387192117
1979-06-01,66.7586650757743
1979-07-01,38.275161957778
1979-08-01,46.1073200169084
1979-09-01,28.8030692318376
1979-10-01,33.2769754249817
1979-11-01,46.7267428093692
1979-12-01,35.6208185487517
1980-01-01,33.0755705759747
1980-02-01,41.1124990119051
1980-03-01,21.2388856490393
1980-04-01,43.962060132666
1980-05-01,52.3235095413634
1980-06-01,48.042728299576
1980-07-01,46.3133058549146
1980-08-01,29.8148495590171
1980-09-01,34.7945791508936
1980-10-01,33.5549995406335
1980-11-01,19.9686248510329
1980-12-01,49.9011387428027
1981-01-01,29.1597594749968
1981-02-01,42.9089761110275
1981-03-01,48.9991418738454
1981-04-01,36.1137806683769
1981-05-01,38.0778839859591
1981-06-01,15.7082309120572
1981-07-01,-4.52747950417285
1981-08-01,-11.5425867506646
1981-09-01,4.75297498131511
1981-10-01,21.5783401906267
1981-11-01,-13.3454354040515
1981-12-01,-26.074199285402
1982-01-01,-26.8058089771384
1982-02-01,-36.8060084843422
1982-03-01,-24.2051928377105
1982-04-01,-5.93242505776428
1982-05-01,-12.0877599738387
1982-06-01,-38.399864332212
1982-07-01,-42.3588996101433
1982-08-01,-38.6230769584355
1982-09-01,-51.2584126505947
1982-10-01,-53.6147186373414
1982-11-01,-41.3877607612263
1982-12-01,-32.0875198095953
1983-01-01,-36.7252917674129
1983-02-01,-49.5287604281649
1983-03-01,-25.8339495495544
1983-04-01,-41.0086378107248
1983-05-01,-36.2676251895571
1983-06-01,-11.8955133286035
1983-07-01,-47.1583186509824
1983-08-01,-34.64472676512
