date,surprise,news_shock
1975M01,0.0,-0.4104981705015856
1975M02,0.0,0.8961096801419325
1975M03,0.0,-0.39723124124740633
1975M04,0.0,-0.37189187160424614
1975M05,0.0,-0.033306007510880725
1975M06,0.0,0.193619285621775
1975M07,0.0,-0.09246683245287461
1975M08,0.0,-0.5721653288921563
1975M09,0.0,-0.1666734042238849
1975M10,0.0,-1.0127104218566778
1975M11,0.0,0.015395152640865743
1975M12,0.0,-0.2526767831377606
1976M01,0.0,-0.10732475095275232
1976M02,0.0,-0.13260493177256183
1976M03,0.0,-0.6124988275809216
1976M04,0.0,-0.5514230566309094
1976M05,0.0,-0.8719694339339895
1976M06,0.0,0.3031134118631818
1976M07,0.0,-0.2382111167017456
1976M08,0.0,0.2985059778690651
1976M09,0.0,0.5853403207713536
1976M10,0.0,0.3314882372745041
1976M11,0.0,-0.5323547033558526
1976M12,0.0,0.2403283842040761
1977M01,0.0,-0.12985297957696157
1977M02,0.0,0.14466312710305373
1977M03,0.0,-0.5983148469689686
1977M04,0.0,0.2554012938888702
1977M05,0.0,0.12761247520566812
1977M06,0.0,-0.1787258901206023
1977M07,0.0,0.5216720976915538
1977M08,0.0,0.47638745198858495
1977M09,0.0,-0.16755427321039482
1977M10,0.0,-0.8053599387308439
1977M11,0.0,0.6854595796858264
1977M12,0.0,-0.3515781174766209
1978M01,0.0,0.07913430789397763
1978M02,0.0,-0.79642706109801
1978M03,0.0,-0.1633544381486593
1978M04,0.0,-0.5599411702652505
1978M05,0.0,-0.19347313721796267
1978M06,0.0,0.013568991998547972
1978M07,0.0,0.5012822464575675
1978M08,0.0,-0.6882960762336201
1978M09,0.0,0.4596064333049551
1978M10,0.0,-0.12802686272737784
1978M11,0.0,-0.40721436171559316
1978M12,0.0,-0.4483203882210308
1979M01,0.0,0.18986754801023936
1979M02,0.0,0.3523711474662449
1979M03,0.0,-0.08381675356833682
1979M04,0.0,0.3117488572341887
1979M05,0.0,0.11219379494526376
1979M06,0.0,0.9605132785642844
1979M07,0.0,0.8165522876513993
1979M08,0.0,1.1254247157408666
1979M09,0.0,0.29404298417440894
1979M10,0.0,0.3713893357595607
1979M11,0.0,0.523790864307156
1979M12,0.0,0.4943003587657749
1980M01,0.0,0.07268890221599617
1980M02,0.0,1.0125540184924149
1980M03,0.0,0.23397069756846273
1980M04,0.0,0.597884984805903
1980M05,0.0,0.21923444172631348
1980M06,0.0,-0.14469597281473073
1980M07,0.0,-0.8527551636063603
1980M08,0.0,-0.377889239167268
1980M09,0.0,-0.6418730447341743
1980M10,0.0,-0.21062251872389612
1980M11,0.0,-0.10442563835366861
1980M12,0.0,-0.038790698242822164
1981M01,0.0,0.28766571147110837
1981M02,0.0,0.07633788652915337
1981M03,0.0,0.12922278495220654
1981M04,0.0,0.40357030402439215
1981M05,0.0,0.36974017945270804
1981M06,0.0,0.22210371809174936
1981M07,0.0,0.37613307631205706
1981M08,0.0,-0.09541998241258841
1981M09,0.0,0.21218193756888995
1981M10,0.0,-0.47418244995091174
1981M11,0.0,-0.14990183307809252
1981M12,0.0,0.17975647931587294
1982M01,0.0,0.17896182477344927
1982M02,0.0,-1.0432010512130423
1982M03,0.0,-0.6878757502840877
1982M04,0.0,0.8976894230976821
1982M05,0.0,0.6393475781903828
1982M06,0.0,0.6260810115381662
1982M07,0.0,0.07190390384722445
1982M08,0.0,0.646918355666423
1982M09,0.0,-0.05880429966361158
1982M10,0.0,0.8110146967489441
1982M11,0.0,0.5352441135893079
1982M12,0.0,-0.1302547347662367
1983M01,0.0,-0.4989027623385284
1983M02,0.0,-0.23219904429791832
1983M03,0.0,-0.2429188857942558
1983M04,0.0,0.4134770231902443
1983M05,0.0,0.14623514389907122
1983M06,0.0,-0.028108727825715177
1983M07,0.20094261628094226,0.5126773510268952
1983M08,0.0,-0.11718112101708268
1983M09,0.0,0.37671074756965567
1983M10,0.0,0.4860178551702649
1983M11,0.0,-0.025761940406411905
1983M12,-0.18880190711131353,-0.1819281281169906
1984M01,0.0,0.05076384208337093
1984M02,0.0,-0.10096796752691757
1984M03,0.0,-0.032946598954649395
1984M04,0.0,0.3119754993314864
1984M05,0.0,-0.37697640860726145
1984M06,0.0,0.2570541597546573
1984M07,0.11654615323003828,-0.03638776899843003
1984M08,0.0,-0.14568630379155786
1984M09,0.0,-0.015664081374299865
1984M10,1.0414575481015098,0.12829360623678024
1984M11,0.0,-0.3477329487882683
1984M12,-1.3289823080612566,-0.5226453399888855
1985M01,0.5212741512975435,-0.020383241612471632
1985M02,0.0,0.17419801836618218
1985M03,0.0,0.6285173409716495
1985M04,0.0,0.06092428876395562
1985M05,0.0,-0.361512773982452
1985M06,0.0,-0.09694466543542127
1985M07,-0.25417794153367984,0.003253993145632922
1985M08,0.0,-0.11734726487807344
1985M09,0.0,0.20228727420383846
1985M10,-1.3786119988987506,0.5967862657106999
1985M11,0.0,0.6187099103270935
1985M12,-3.8903888914070412,-0.4790168329144068
1986M01,0.0,-0.7047105327315423
1986M02,0.0,-2.114153143878877
1986M03,0.0,-0.9479415358523636
1986M04,0.5116150940328545,-0.7329108892717369
1986M05,0.0,1.070297631883444
1986M06,0.0,-1.042145182897445
1986M07,0.0,-0.7237291568473871
1986M08,9.364171074490317,2.047146966071406
1986M09,0.0,-0.7578005250164129
1986M10,-1.1085973375193794,-0.18010923583894267
1986M11,0.0,0.2699587576059039
1986M12,3.0063113352071746,0.15216262597498234
1987M01,0.0,1.651162804009347
1987M02,0.0,-1.0553319096311842
1987M03,0.0,0.29818075574427266
1987M04,0.0,-0.010267916085213375
1987M05,0.0,0.29959691456951854
1987M06,1.2149573871003831,0.49836810947824683
1987M07,0.0,0.595182252294959
1987M08,0.0,-0.035011568327522766
1987M09,0.0,0.1679613541293267
1987M10,0.0,0.14520488503484724
1987M11,0.0,-0.49042413788388417
1987M12,-4.270810726933314,-0.5246436242958821
1988M01,0.0,0.5783541512682708
1988M02,0.0,-0.3333866117178441
1988M03,0.0,-0.7259782757618306
1988M04,0.0,0.9095041391551931
1988M05,0.0,-0.48615048050496823
1988M06,2.329215227665757,-0.7411508459146106
1988M07,0.0,-0.4882255430351554
1988M08,0.0,0.10707757805601748
1988M09,0.0,-0.4364003293386956
1988M10,0.0,-0.33589129683029745
1988M11,5.929509568390878,-0.32045061051346874
1988M12,0.0,0.8699717626701513
1989M01,0.0,-0.045856623625505494
1989M02,0.0,-0.3905766758819895
1989M03,0.0,0.3068759893808425
1989M04,0.0,0.8233520180976523
1989M05,0.0,-0.20668995015725422
1989M06,-3.1588205500244313,-0.35330922094564665
1989M07,0.0,0.6223568615387757
1989M08,0.0,-0.8664081512338816
1989M09,0.9520458095270328,0.8605817859902833
1989M10,0.0,0.34512785304511356
1989M11,-1.821002143823117,0.054755240556449744
1989M12,0.0,0.42223311368192706
1990M01,0.0,0.8643394768988054
1990M02,0.0,-0.8149931107537178
1990M03,0.0,-0.13691377606032246
1990M04,0.0,-0.028735515550997445
1990M05,0.0,-0.7690739243278211
1990M06,0.0,0.07473265293207976
1990M07,0.45974167493349005,0.5588182053153697
1990M08,0.0,1.5830017114823967
1990M09,0.0,0.7019361155182646
1990M10,0.0,0.3157318910325642
1990M11,0.0,-0.772271872524165
1990M12,2.775527058324618,-0.2803490157845171
1991M01,0.0,-0.15765055936533373
1991M02,0.0,-1.1249882005419258
1991M03,3.114776650422142,0.48690163660136737
1991M04,0.0,-0.20007685393445102
1991M05,0.0,-0.49090189919318217
1991M06,-0.601656224758682,-0.45309861900218196
1991M07,0.0,0.03117427442934132
1991M08,0.0,-0.12992176507794995
1991M09,0.08597460867791094,0.28889605242135125
1991M10,0.0,0.534866673837987
1991M11,1.626626440127349,0.06246343722856878
1991M12,0.0,-0.5500010864129096
1992M01,0.0,-0.0616374277007404
1992M02,-5.54622149206003,0.11632628257897802
1992M03,0.0,-0.2612841699202302
1992M04,0.0,0.3514136458631188
1992M05,4.104434625768728,0.39711152727576665
1992M06,0.0,0.44424548950761816
1992M07,0.0,-0.7319730235514855
1992M08,0.0,0.6652651257912868
1992M09,-0.6051766679289712,0.11823961791990234
1992M10,0.0,-0.011908256434374404
1992M11,-1.494526239264358,0.1240989352251288
1992M12,0.0,0.3305530809021596
1993M01,0.0,0.14802294782474723
1993M02,-0.15661004410084348,0.07875711955115962
1993M03,0.0,-0.15332422608050444
1993M04,0.0,0.07121655620532015
1993M05,0.0,0.22157201137927676
1993M06,-1.3152768715984233,-0.5599347052052265
1993M07,0.0,-0.16076110430309568
1993M08,0.0,0.17398664222173893
1993M09,0.2377332666881135,-0.43787347139513866
1993M10,0.0,0.4458608840560716
1993M11,-5.267852793433339,-0.5989887687832489
1993M12,0.0,-0.62807035612903
1994M01,0.0,0.4781004623000811
1994M02,0.0,-0.37845379296164094
1994M03,-4.958656019916131,-0.5088294343231813
1994M04,0.0,0.37786892522692267
1994M05,0.0,0.22983901534262782
1994M06,-0.6222004316540268,-0.03774499425208429
1994M07,0.0,0.46534058716849724
1994M08,0.0,-0.6520674737255634
1994M09,0.0,-0.16942852893407812
1994M10,0.0,-0.1172347442316178
1994M11,1.7201532821127614,-0.021668111296842842
1994M12,0.0,-0.5054376787329347
1995M01,0.0,0.32222317306956605
1995M02,0.0,0.2581398831214029
1995M03,0.0,-0.47533395653034605
1995M04,0.0,0.6301790361731673
1995M05,0.0,-0.5774617885053497
1995M06,0.38945682625939493,-0.29523854416074446
1995M07,0.0,0.07301677199437423
1995M08,0.0,-0.22524158679404524
1995M09,0.0,0.30624438110053653
1995M10,0.0,-0.1585085619506295
1995M11,-0.09486315291733903,-0.07114965928699887
1995M12,0.0,0.21049160938934747
1996M01,0.0,0.07229422856025022
1996M02,0.0,-0.3528933090254415
1996M03,0.0,1.100395032519619
1996M04,0.0,0.33365436457190756
1996M05,0.0,-1.2003061712875924
1996M06,0.9854875585384643,0.35281032706000215
1996M07,0.0,0.2093832346355249
1996M08,0.0,0.015049603658869704
1996M09,0.0,0.5039968471372894
1996M10,0.0,0.207834564878484
1996M11,4.022731169314811,-0.5874078599344624
1996M12,0.0,0.5415333949055373
1997M01,0.0,-0.1943554846367105
1997M02,0.0,-1.1746107439254956
1997M03,0.0,-0.07860689517213407
1997M04,0.0,-0.5243877387877715
1997M05,0.0,0.017922952551572897
1997M06,-2.131879204059382,-1.1567450999790352
1997M07,0.0,-0.2769364022700021
1997M08,0.0,-0.2130988477482633
1997M09,0.0,-0.1874412723680217
1997M10,0.0,0.07013899570548413
1997M11,0.0,-0.12551342964589762
1997M12,-0.7243565712090988,-0.3447464944421127
1998M01,0.0,-0.3989368182690842
1998M02,0.0,0.009781085200290049
1998M03,-2.4001352563022373,-0.7322380221105949
1998M04,0.0,0.17188118932127644
1998M05,0.0,-0.19754962606025642
1998M06,-0.31879532673724803,-0.2729259653714979
1998M07,0.0,0.16772418812241624
1998M08,0.0,-1.0127973411958293
1998M09,0.0,0.6602275578934282
1998M10,0.0,-0.4917073708972357
1998M11,-2.6942767934376715,-0.4931711542541287
1998M12,0.0,-0.7238794382458733
1999M01,0.0,0.9188443792207768
1999M02,0.0,-0.766499461057214
1999M03,-1.716209043130105,0.7958875565809924
1999M04,0.0,0.6930099816573883
1999M05,0.0,-0.32673855940408364
1999M06,0.0,-0.37747602247155965
1999M07,0.0,1.0262755382077762
1999M08,0.0,-0.060089721942724175
1999M09,-1.203779080609284,1.0725975293466847
1999M10,0.0,-1.0813700522541563
1999M11,0.0,0.6216826843231569
1999M12,0.0,-0.18669250624461267
2000M01,0.0,0.5720319888525257
2000M02,0.0,0.164629715541791
2000M03,0.7402862809004258,0.18723768806232038
2000M04,0.0,-1.568341170298865
2000M05,0.0,0.8327763493903348
